date,revision,branch,commit_msg
"2022-11-02T12:22:51-07:00","9a6314627489705473066b989908680f526da00a","refs/heads/ldbc-automate-bench","Don't re-open writer on writing header row."
"2022-11-02T22:27:35-07:00","2ad3d33508be1ab50ebca41741d8672a97dc6aab","refs/heads/pin","Pinning nexmark to one socket."
"2022-11-02T23:59:50-07:00","7befb0e6e8fb0484c22bf1382e4adeb3b627ffba","refs/heads/pin","Fine-tune the number of generators / processing cores for nexmark."
"2022-11-03T12:18:09-05:00","3eb78616142227ff07969f83fdd2d2273278c350","refs/pull/221/merge","Rebase, clippy and cleanup"
"2022-11-03T12:20:21-05:00","a89d14250f8385aaf11adc5a055044842c05ffb6","refs/pull/221/merge","Removed patch feature"
"2022-11-03T12:26:46-05:00","445b6ca6aba1a1042c5956fcaf251058778dfc42","refs/pull/221/merge","Renamed straggelers"
"2022-11-05T12:15:49-05:00","3fa1fedfffd522ae324a39846b11eef4dd7b05ba","refs/pull/221/merge","Renamed straggelers"
"2022-11-07T13:28:53-08:00","535722ee0558599578a0e7671df0732fac7f16d7","refs/pull/226/merge","Make sure to use the correct SHA in the bench script."
"2022-11-07T20:37:00-08:00","c0da82aad3aa66e509d1060a9b04c02499d0cd0f","refs/pull/226/merge","Fix incorrect determination logic for page-rank."
"2022-11-08T11:27:00-08:00","8d2280223cf3357784e219568e1720d853533dc9","refs/heads/workflow-update","Update contribution guidelines."
"2022-11-08T13:00:47-08:00","4aba8de5412028eb5fff53369669a73740e21ac5","refs/heads/workflow-update","Detect PR_COMMIT_SHA being empty properly in bash."
"2022-11-09T15:06:30-06:00","a386411decf395f06dc0bdd919fcba43ab50dee7","refs/pull/221/merge","Fixed ldbc pagerank"
"2022-11-09T15:30:37-06:00","1c1b206954d61d3165ca8e3ce94082d6a9e388f5","refs/pull/221/merge","General code cleanup"
"2022-11-09T16:13:14-06:00","5105a0d33e4770b4b168b5683aa4643060487a68","refs/pull/230/merge","Fixed `fill_indices()` on aarch64"
"2022-11-10T11:49:43-08:00","9cd22df1f0fb3fbfd1755ccc14406f5aef578bcf","refs/heads/main","Fixed `fill_indices()` on aarch64"
"2022-11-10T11:50:30-08:00","f038539896290d9a59befab6477f651caa49333e","refs/heads/main","Link to SQL compiler"
"2022-11-10T11:54:51-08:00","ad48ab810cad96614e3eb90c22d6bf7c28e4e7bd","refs/heads/main","General code cleanup"
"2022-11-13T17:42:30-08:00","cf77ad8e231046ab0c34099c049fdeaa75c906ef","refs/heads/transport","I/O adapter framework."
"2022-11-14T08:38:40-08:00","f9c115b4029e14210066e0a47c0aac9de70e7ac3","refs/heads/transport","I/O adapter framework."
"2022-11-14T09:33:35-08:00","f453a7677c7787ef2567ff2d8d6addcaa4d0f312","refs/heads/stable_rust","Go back to stable Rust."
"2022-11-14T11:41:15-08:00","89c4215aa2ac7738c91308b95d945c6748e79717","refs/heads/transport","I/O adapter framework."
"2022-11-14T12:36:57-08:00","87f9a99d0e9e4de261230d4dca532ddfcfa03201","refs/heads/stable_rust","Go back to stable Rust."
"2022-11-14T13:04:36-08:00","a15b4c121cfc5efb971ebe8f410c27fc2759aaf2","refs/heads/transport","I/O adapter framework."
"2022-11-14T23:07:25-06:00","1132cb347fb7490c22d89d6e7096980e1b491c72","refs/pull/235/merge","Merge branch 'main' into patch-227"
"2022-11-15T11:00:24-06:00","f22268a58f112af685058cdcfe7ac54f9fc2116d","refs/pull/235/merge","Fixed `fill_indices()` on aarch64 (for real)"
"2022-11-15T13:55:10-08:00","f76f2136468c4e9f36bdbc59a63e828b82c2bc7c","refs/heads/transport","I/O adapter framework."
"2022-11-17T12:23:38-08:00","6f037e0956e90ed15120ce461a28a7cced1ea3b7","refs/heads/main","Fixed `fill_indices()` on aarch64 (for real)"
"2022-11-20T21:12:39-08:00","3ac3cc56ef289838cac197cf1a743548aa6b60f3","refs/heads/output_transport","wip"
"2022-11-20T23:22:14-08:00","281447eac70e50549e5fdb605872f65819ab5d83","refs/heads/transport","I/O adapter framework."
"2022-11-20T23:34:45-08:00","16a84f47c5fb9ffa48594aea0e72d62106b0afe9","refs/heads/output_transport","The output half of the I/O pipeline."
"2022-11-21T13:33:16-08:00","a78ee1f061b6f36993480303507921c4bd4892ec","refs/heads/transport","Skip `set_test_m4` in sanitizer tests."
"2022-11-21T14:52:32-08:00","23b598d86ccab195a5557aea224456eeb93a4faf","refs/heads/output_transport","The output half of the I/O pipeline."
"2022-11-21T15:10:38-08:00","8759edaa29febd20bd7849fcdec94b0a2de7178d","refs/heads/stable_rust","Go back to stable Rust."
"2022-11-21T16:59:28-08:00","10bbfea67e45fc8123781fed1d7798f5bc1fabba","refs/heads/stable_rust","Go back to stable Rust."
"2022-11-21T19:35:12-08:00","049482f88af3f38795634774eb5b9af387d00b21","refs/heads/output_transport","Disable leak sanitizer."
"2022-11-22T09:44:33-08:00","62558c09991e9c5ec171f240199f83dd3fc7e5d3","refs/heads/main","[CONTRIBUTING.md] Rename section"
"2022-11-22T15:59:01-08:00","883470986a055c07987cd2199b314181ebfcefc4","refs/heads/output_transport","Disable leak sanitizer."
"2022-11-28T00:08:03-08:00","a4dbaa27e60f6ee1f79628b11d0e064fb4dd6b03","refs/heads/kafka","clippy"
"2022-11-28T09:19:00-08:00","027e990c1b7abafbedb8283887967ee3ab65b5e5","refs/heads/kafka","Kafka input adapter."
"2022-11-28T14:06:27-08:00","222634b6aff6d53b2e2062f7a48ead4057ad5802","refs/heads/kafka","Install RedPanda in CI."
"2022-11-28T14:16:42-08:00","217a2802a7da78385705d08723b2da3a837c280f","refs/heads/kafka","Use fixed nightly Rust version in CI."
"2022-11-28T14:58:56-08:00","df89cdfd3b53eee40f0b6d22f39507ea591a6d1b","refs/heads/kafka","Kafka input adapter."
